0.00,17.00,34.00,51.00,68.00,85.00,102.00,119.00
1.00,18.00,35.00,52.00,69.00,86.00,103.00,120.00
2.00,19.00,36.00,53.00,70.00,87.00,104.00,121.00
3.00,20.00,37.00,54.00,71.00,88.00,105.00,122.00
4.00,21.00,38.00,55.00,72.00,89.00,106.00,123.00
5.00,22.00,39.00,56.00,73.00,90.00,107.00,124.00
6.00,23.00,40.00,57.00,74.00,91.00,108.00,125.00
7.00,24.00,41.00,58.00,75.00,92.00,109.00,126.00
8.00,25.00,42.00,59.00,76.00,93.00,110.00,127.00
9.00,26.00,43.00,60.00,77.00,94.00,111.00,128.00
10.00,27.00,44.00,61.00,78.00,95.00,112.00,129.00
11.00,28.00,45.00,62.00,79.00,96.00,113.00,130.00
12.00,29.00,46.00,63.00,80.00,97.00,114.00,131.00
13.00,30.00,47.00,64.00,81.00,98.00,115.00,132.00
14.00,31.00,48.00,65.00,82.00,99.00,116.00,133.00
15.00,32.00,49.00,66.00,83.00,100.00,117.00,134.00
16.00,33.00,50.00,67.00,84.00,101.00,118.00,135.00
